CODIGO;Nombre;Aulas;Salas;Alberca;CampoPracticas_Escenario;Muelle_Entrenamiento_Botes;BoteSalvavida_Capacidad;Capacidad_Total;DescripcionDireccion;Fk_Id_Municipio
CASE ALTAMIRA;CENTRO DE ADIESTRAMIENTO EN SEGURIDAD ECOLOGIA Y SOBREVIVENCIA ALATAMIRA;3;0;0;0;0;0;65;"INTERIOR DEL CAMPO TAMAULIPAS S/N CARRETERA TAMPICO-MANTE KM; 24; ALTAMIRA; TAMAULIPAS.";2046
CASE CERRO AZUL;CENTRO DE ADIESTRAMIENTO EN SEGURIDAD ECOLOGIA Y SOBREVIVENCIA CERRO AZUL - NARANJOS;4;0;0;0;0;0;60;"CALLE RAFAEL NIETO S/ N COLONIA CAMPO INDUSTRIAL (BOMBEROS); CERRO AZUL; VERACRUZ.";2121
CASE CIUDAD DEL CARMEN;CENTRO DE ADIESTRAMIENTO EN SEGURIDAD ECOLOGIA Y SOBREVIVENCIA CIUDAD DEL CARMEN;5;2;1;11;0;30;320;"CARRETERA CARMEN PUERTO REAL KM 22+800. COLONIA LAGARTERA; CIUDAD DEL CARMEN; CAMPECHE.";216
CASE CAMPUS POZA RICA;CENTRO DE ADIESTRAMIENTO EN SEGURIDAD ECOLOGIA Y SOBREVIVENCIA CAMPUS POZA RICA;9;0;0;0;0;0;252;"CAMPO EZEQUIEL ORDOÑEZ EN LA COMUNIDAD POLUTLA; PAPANTLA DE OLARTE; VERA";2217
CASE DOS BOCAS;CENTRO DE ADIESTRAMIENTO EN SEGURIDAD ECOLOGIA Y SOBREVIVENCIA DOS BOCAS;5;2;1;18;2;0;215;"RANCHERIA EL LIMON S/N TERMINAL MARITIMA DOS BOCAS; PARAISO; TAB";1980
CASE EL CASTAÑO;CENTRO DE ADIESTRAMIENTO EN SEGURIDAD ECOLOGIA Y SOBREVIVENCIA EL CASTAÑO;6;1;0;0;0;0;150;"ZONA INDUSTRIAL; CARRETERA FEDERAL COATZACOALCOS-VILLAHERMOSA KILOMETRO 131; CARDENAS";1968
CASE POZA RICA;CENTRO DE ADIESTRAMIENTO EN SEGURIDAD ECOLOGIA Y SOBREVIVENCIA POZA RICA;6;0;0;0;0;0;165;"CALLE FERROCARRIL S/N ESQUINA BOULEVARD; COLONIA AVIACION VIEJA; POZA RICA DE HIDALGO; VERA";2223
CASE VERACRUZ;CENTRO DE ADIESTRAMIENTO EN SEGURIDAD ECOLOGIA Y SOBREVIVENCIA VERACRUZ;0;1;0;0;0;0;65;"CENTRO ADMINISTRATIVO MOCAMBO; AVENIDA URANO 420 INTERIOR C; COLONIA YLANG YLANG; BOCA DEL RIO; VERA";2112
CASE REYNOSA;CENTRO DE ADIESTRAMIENTO EN SEGURIDAD ECOLOGIA Y SOBREVIVENCIA REYNOSA;5;0;0;0;0;0;108;"CARRETERA SAN FERNANDO KM; DEL 8 AL LO COLONIA BENITO JUAREZ; REYNOSA; TAMAULPAS";2075
