CODIGO;Nombre;Descripcion
PRESEN;PRESENCIAL;CURSO IMPARTIDO EN MODALIDAD PRESENCIAL EN LA SEDE ASIGNADA
DIST;DISTANCA;CURSO IMPARTIDO EN MODALIDAD PRESENCIAL EN LA SEDE ASIGNADA
ONLINE;EN LINEA;CURSO IMPARTIDO EN MODALIDAD EN LINEA MEDIANTES PLATAFORMAS DE REUNION
